    0.000   0.000  11.795   0.000   0.000
    0.000   0.000   0.000  11.455   0.000
    0.000   0.000   0.000   0.000  11.967
           0           1
   -0.012   0.000   0.095   0.263   0.000
    0.000   0.122   0.000   0.000  -0.257
   -0.095   0.000  -0.300  -0.299   0.000
    0.263   0.000   0.299   0.415   0.000
    0.000   0.257   0.000   0.000   0.036
           0           2
   -0.048   0.000  -0.012   0.038   0.000
    0.000   0.002   0.000   0.000  -0.023
    0.012   0.000  -0.018  -0.017   0.000
    0.038   0.000   0.017  -0.007   0.000
    0.000   0.023   0.000   0.000  -0.012
           1          -2
   -0.001  -0.022   0.013   0.014   0.005
    0.022   0.003  -0.016  -0.012   0.019
   -0.013  -0.016   0.013   0.012  -0.010
    0.014   0.012  -0.012  -0.004  -0.017
    0.005  -0.019   0.010  -0.017  -0.030
           1          -1
    0.037  -0.076   0.076   0.000   0.104
    0.076   0.183  -0.047  -0.078   0.055
   -0.076  -0.047   0.183  -0.078  -0.055
    0.000   0.078   0.078  -0.025   0.000
    0.104  -0.055   0.055   0.000   0.100
           1           0
   -0.012   0.095   0.000  -0.263   0.000
   -0.095  -0.300   0.000   0.299   0.000
    0.000   0.000   0.122   0.000  -0.257
   -0.263  -0.299   0.000   0.415   0.000
    0.000   0.000   0.257   0.000   0.036
           1           1
    0.037  -0.076  -0.076   0.000  -0.104
    0.076   0.183   0.047  -0.078  -0.055
    0.076   0.047   0.183   0.078  -0.055
    0.000   0.078  -0.078  -0.025   0.000
   -0.104   0.055   0.055   0.000   0.100
           1           2
   -0.001  -0.022  -0.013   0.014  -0.005
    0.022   0.003   0.016  -0.012  -0.019
    0.013   0.016   0.013  -0.012  -0.010
    0.014   0.012   0.012  -0.004   0.017
   -0.005   0.019   0.010   0.017  -0.030
           2          -2
   -0.009  -0.008   0.008   0.000  -0.003
    0.008   0.014  -0.006   0.001  -0.003
   -0.008  -0.006   0.014   0.001   0.003
    0.000  -0.001  -0.001   0.010   0.000
   -0.003   0.003  -0.003   0.000  -0.030
           2          -1
   -0.001  -0.013   0.022  -0.014   0.005
    0.013   0.013  -0.016   0.012   0.010
   -0.022  -0.016   0.003  -0.012  -0.019
   -0.014  -0.012   0.012  -0.004   0.017
    0.005  -0.010   0.019   0.017  -0.030
           2           0
   -0.048  -0.012   0.000  -0.038   0.000
    0.012  -0.018   0.000   0.017   0.000
    0.000   0.000   0.002   0.000  -0.023
   -0.038  -0.017   0.000  -0.007   0.000
    0.000   0.000   0.023   0.000  -0.012
           2           1
   -0.001  -0.013  -0.022  -0.014  -0.005
    0.013   0.013   0.016   0.012  -0.010
    0.022   0.016   0.003   0.012  -0.019
   -0.014  -0.012  -0.012  -0.004  -0.017
   -0.005   0.010   0.019  -0.017  -0.030
           2           2
   -0.009  -0.008  -0.008   0.000   0.003
    0.008   0.014   0.006   0.001   0.003
    0.008   0.006   0.014  -0.001   0.003
    0.000  -0.001   0.001   0.010   0.000
    0.003  -0.003  -0.003   0.000  -0.030
